,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,published_at,insider_interview,url,employer,snippet,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes,lng,lati,Density,published_at_date,OblastiRF,lngi,Count_word
540,78340770,0,Подменный водитель-экспедитор на автомобиле компании,,0,0,Ростов-на-Дону,60000.0,1,"{'city': 'хутор Красный Крым', 'street': 'Индустриальная улица', 'building': '6', 'lat': 47.331102, 'lng': 39.630706, 'description': None, 'raw': 'хутор Красный Крым, Индустриальная улица, 6', 'metro': None, 'metro_stations': [], 'id': '5129714'}",2023-03-21T10:52:14+0300,,https://api.hh.ru/vacancies/78340770?host=hh.ru,Деловой Партнер,"Опыт работы от 1 года в аналогичной должности. Наличие водительского удостоверения категорий ""В"". Ответственность, коммуникабельность.",,,,0,Водитель,0,39.630706,47.331102,1091544.0,2023-03-21,Ростовская область,39.630706,15
541,78357042,0,Специалист по больничным листам,,0,0,Владимир,35000.0,1,"{'city': 'Владимир', 'street': 'улица Мира', 'building': '37А', 'lat': 56.144216, 'lng': 40.414396, 'description': None, 'raw': 'Владимир, улица Мира, 37А', 'metro': None, 'metro_stations': [], 'id': '2833101'}",2023-03-21T13:36:32+0300,,https://api.hh.ru/vacancies/78357042?host=hh.ru,Здоровье,"Обязательно мед.образование (средне-специальное). Уверенно владеете ПК. Тро осваивать новую информацию. В компании вы можете двигаться по карьерной лестнице, как...",,,,0,Другое,1,40.414396,56.144216,348256.0,2023-03-21,Владимирская область,40.414396,19
542,77215480,0,Менеджер по работе с маркетплейсами,,0,0,Улан-Удэ,60000.0,1,0,2023-02-20T13:30:29+0300,,https://api.hh.ru/vacancies/77215480?host=hh.ru,TOMO Group,Опыт применения Excel: работа с формулами и сводными таблицами. Грамотная устная и письменная речь. Внимательность и аккуратность. Готовность в высоким...,,,,0,"Менеджер по маркетингу, интернет-маркетолог",0,,,404357.0,2023-02-20,Бурятия,0.0,20
543,78145727,0,Федеральный менеджер,,0,0,Ростов-на-Дону,212750.0,1,0,2023-03-16T15:26:47+0300,,https://api.hh.ru/vacancies/78145727?host=hh.ru,Озон Хелскеа Рус,Высшее законченное образование. Опыт работы в продажах и опыт управлении персоналом от 1 года (от 3-х подчинённых). ,,,,0,"Менеджер по продажам, менеджер по работе с клиентами",0,,,1091544.0,2023-03-16,Ростовская область,0.0,17
544,78266665,0,Старший администратор,,0,0,Саратов,39000.0,1,"{'city': 'Саратов', 'street': 'Советская улица', 'building': '86/70', 'lat': 51.531803, 'lng': 46.01108, 'description': None, 'raw': 'Саратов, Советская улица, 86/70', 'metro': None, 'metro_stations': [], 'id': '12939435'}",2023-03-20T11:38:59+0300,,https://api.hh.ru/vacancies/78266665?host=hh.ru,Фонтанелия,"Знание ПК, опыт работы.",,,,0,Руководитель отдела клиентского обслуживания,1,46.01108,51.531803,836900.0,2023-03-20,Саратовская область,46.01108,4
545,78369225,0,Фотограф/видеограф,,0,0,Москва,90000.0,1,"{'city': 'Москва', 'street': 'Арбатско-Покровская линия', 'building': 'метро Строгино', 'lat': 55.803691, 'lng': 37.403118, 'description': None, 'raw': 'Москва, Арбатско-Покровская линия, метро Строгино', 'metro': None, 'metro_stations': [], 'id': '4073562'}",2023-03-21T16:25:31+0300,,https://api.hh.ru/vacancies/78369225?host=hh.ru,Министерство культуры и туризма Московской области,"Высшее образование. - Наличие собственного оборудования для съемок и монтажа. - Умение пользоваться фото- и видео-редакторами, обеспечивающими обработку материалов на высоком...",,,,0,"Фотограф, ретушер",0,37.403118,55.803691,11514330.0,2023-03-21,Москва,37.403118,21
546,78369971,0,Ведущий специалист,,0,0,Москва,,1,"{'city': 'Москва', 'street': 'Покровский бульвар', 'building': '3с1', 'lat': 55.756797, 'lng': 37.648528, 'description': None, 'raw': 'Москва, Покровский бульвар, 3с1', 'metro': None, 'metro_stations': [], 'id': '12434558'}",2023-03-21T16:38:17+0300,,https://api.hh.ru/vacancies/78369971?host=hh.ru,ЛУКОЙЛ,Высшее экономическое образование. Опыт работы по направлению деятельности не менее 5-ти лет. Продвинутый пользователь Excel.,,,,0,Экономист,0,37.648528,55.756797,11514330.0,2023-03-21,Москва,37.648528,15
547,78375302,0,Администратор тату-студии,,0,0,Санкт-Петербург,45000.0,1,"{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': None, 'metro': {'station_name': 'Горьковская', 'line_name': 'Московско-Петроградская', 'station_id': '15.216', 'line_id': '15', 'lat': 59.956112, 'lng': 30.31889}, 'metro_stations': [{'station_name': 'Горьковская', 'line_name': 'Московско-Петроградская', 'station_id': '15.216', 'line_id': '15', 'lat': 59.956112, 'lng': 30.31889}, {'station_name': 'Петроградская', 'line_name': 'Московско-Петроградская', 'station_id': '15.215', 'line_id': '15', 'lat': 59.966389, 'lng': 30.311293}, {'station_name': 'Чкаловская', 'line_name': 'Фрунзенско-Приморская', 'station_id': '18.248', 'line_id': '18', 'lat': 59.961033, 'lng': 30.292006}], 'id': '6594037'}",2023-03-21T18:40:50+0300,,https://api.hh.ru/vacancies/78375302?host=hh.ru,Roy Tattoo,Продвинутые знания компьютера. (Будет большим плюсом). Опыт продаж. (Будет большим плюсом). Грамотно поставленная речь. Знание английского (Будет большим плюсом). Пунктуальность. ,,,,0,Администратор,0,,,4848742.0,2023-03-21,Санкт-Петербург,,20
548,77899433,0,Администратор салона красоты,,0,0,Москва,115000.0,1,0,2023-03-10T14:09:15+0300,,https://api.hh.ru/vacancies/77899433?host=hh.ru,SK BEAUTY СТУДИЯ НОМЕР 1,"Пунктуальность. Ответственность, грамотная речь. Стрессоустойчивость, решение конфликтных ситуаций. Порядочность, надежность. Опыт работы на аналогичной должности. Улыбчивость, общительность. Многофункциональность. ",,,,0,Администратор,0,,,11514330.0,2023-03-10,Москва,0.0,18
549,78294006,0,Тестировщик ПО / QA Engineer,,1,0,Самара,85000.0,1,"{'city': 'Самара', 'street': 'улица Степана Разина', 'building': '134А', 'lat': 53.190424, 'lng': 50.087473, 'description': None, 'raw': 'Самара, улица Степана Разина, 134А', 'metro': None, 'metro_stations': [], 'id': '545364'}",2023-03-20T16:03:47+0300,,https://api.hh.ru/vacancies/78294006?host=hh.ru,VDcom,Основы тестирования. Личный интерес к профессии. Базовые знания теории реляционных баз данных и SQL. Общее понимание процессов разработки ПО. ,,,,0,Тестировщик,0,50.087473,53.190424,1164900.0,2023-03-20,Самарская область,50.087473,19
